NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062156594,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,B,C,B,6,A,B,A,C,D,B,A,B,B,B,B,A,B,A,B,A,D,A
210062156709,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,E,B,D,6,A,C,A,B,C,A,A,B,A,B,A,A,B,A,B,B,C,A
210062157098,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,E,B,B,4,A,H,A,C,C,A,A,B,A,A,B,A,C,A,B,B,E,A
210062157421,2024,3,M,0,3,2,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,D,B,3,A,C,A,C,C,B,A,B,A,B,B,A,B,A,B,B,D,A
210062157459,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,C,C,B,4,A,C,A,B,C,B,A,B,A,A,B,A,B,A,B,A,E,A
210062157488,2024,4,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,F,F,8,A,A,A,B,C,A,A,B,A,B,A,A,B,A,B,A,E,A
210062157610,2024,2,F,1,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,F,E,D,D,3,A,B,A,B,B,A,A,B,A,A,A,A,B,A,B,A,D,A
210062157866,2024,6,F,1,2,1,1,4,,0,3523107,Itaquaquecetuba,35,SP,E,E,C,B,5,A,C,A,B,C,B,A,B,A,B,A,A,B,A,B,B,D,A
210062158713,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,C,B,4,B,K,A,C,D,B,A,C,A,B,B,B,D,A,B,B,E,A
210062159114,2024,17,F,1,1,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,C,D,E,B,2,B,D,A,B,C,A,A,B,A,B,A,A,A,A,B,A,C,A
210062159250,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,C,C,5,A,C,A,B,B,A,A,B,A,A,A,A,B,A,A,A,B,A
210062159721,2024,2,F,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,F,F,A,B,4,B,B,A,B,C,A,A,B,A,B,A,A,B,A,B,B,D,A
210062160127,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,F,E,C,C,4,A,E,A,B,C,B,A,B,A,B,B,A,B,A,B,B,D,A
210062163520,2024,2,F,1,3,2,3,0,,1,3523107,Itaquaquecetuba,35,SP,E,E,C,F,3,A,B,A,B,C,B,A,B,A,B,B,A,B,A,B,A,C,A
